symbol,time,recent_message_type,bid_no_of_order,bid_quantity,bid_price,ask_price,ask_quantity,ask_no_of_order
GARAN,1572868500854986863,E,13,370905,9.49,9.51,495574,54
GARAN,1572868503475236093,A,1,10,9.5,9.51,495574,54
GARAN,1572868838645387579,E,10,360435,9.49,9.51,508738,59
GARAN,1572868838645542372,A,10,360435,9.49,9.5,24613,1
GARAN,1572870086563737906,E,46,142692,9.48,9.5,251305,34
GARAN,1572870086564118155,A,46,142692,9.48,9.49,7500,1
GARAN,1572870780078433345,E,51,151189,9.48,9.5,182082,39
GARAN,1572870780078433345,A,1,58719,9.49,9.5,182082,39
GARAN,1572871521363869710,E,51,117145,9.48,9.5,185750,52
GARAN,1572871521364241836,A,51,117145,9.48,9.49,7500,1
GARAN,1572871521969628921,E,51,134984,9.48,9.5,175374,50
GARAN,1572871521969879420,A,1,7500,9.49,9.5,175374,50
GARAN,1572871521970095941,E,50,116969,9.48,9.5,175374,50
GARAN,1572871521970370350,A,50,116969,9.48,9.49,7500,1
GARAN,1572871522483691952,D,51,143508,9.48,9.5,175374,50
GARAN,1572871525627179289,A,51,118907,9.48,9.49,500,1
GARAN,1572871526439125362,E,52,143543,9.48,9.5,175374,50
GARAN,1572871528012021949,A,51,118907,9.48,9.49,5000,1
GARAN,1572871529771628219,E,52,138676,9.48,9.5,170374,49
GARAN,1572871529771874105,A,1,7500,9.49,9.5,170374,49
GARAN,1572872216327650032,E,53,124602,9.48,9.5,155167,56
GARAN,1572872216327650032,A,53,124602,9.48,9.49,71569,1
GARAN,1572872295139467760,E,27,60752,9.47,9.49,86398,7
GARAN,1572872295139467760,A,27,60752,9.47,9.48,18322,1
GARAN,1572872295142014107,E,29,93185,9.47,9.49,94131,9
GARAN,1572872295142014107,A,1,8543,9.48,9.49,94131,9
GARAN,1572872326746058971,E,31,104913,9.47,9.49,94131,9
GARAN,1572872326746058971,E,15,20645,9.46,9.49,94131,9
GARAN,1572872326746928330,A,15,20645,9.46,9.48,7500,1
GARAN,1572872326748355827,A,1,100,9.47,9.48,7500,1
GARAN,1572872326750617429,E,15,20645,9.46,9.48,7500,1
GARAN,1572872326797295977,A,15,20645,9.46,9.47,41821,1
GARAN,1572872376740133489,E,13,28042,9.46,9.48,7773,3
GARAN,1572872376740277710,A,1,7500,9.47,9.48,7773,3
GARAN,1572872376740840052,E,13,28042,9.46,9.48,7773,3
GARAN,1572872376741199571,A,1,7500,9.47,9.48,7773,3
GARAN,1572872376741449645,E,13,28042,9.46,9.48,7773,3
GARAN,1572872376845763277,A,1,7500,9.47,9.48,7773,3
GARAN,1572872558019309828,E,11,49257,9.47,9.49,79587,5
GARAN,1572872558019736738,A,1,7500,9.48,9.49,79587,5
GARAN,1572872558020021057,E,12,55681,9.47,9.49,79587,5
GARAN,1572872558020047257,A,12,55681,9.47,9.48,3200,1
GARAN,1572872558793329332,E,13,83280,9.47,9.49,79587,5
GARAN,1572872561548904185,A,1,575,9.48,9.49,79587,5
GARAN,1572872561549140232,E,13,53423,9.47,9.49,79587,5
GARAN,1572872563696128111,A,14,53432,9.47,9.48,7500,1
GARAN,1572872563696218806,E,14,53432,9.47,9.49,79587,5
GARAN,1572872573705108936,A,1,7500,9.48,9.49,79587,5
GARAN,1572872573705613531,D,14,53432,9.47,9.49,79587,5
GARAN,1572872606107396823,A,1,100,9.48,9.49,79686,6
GARAN,1572872695341131283,E,11,64883,9.48,9.5,142106,57
GARAN,1572872695341702641,A,1,7500,9.49,9.5,142106,57
GARAN,1572872695548423132,D,13,81691,9.48,9.5,142106,57
GARAN,1572872695576834712,A,1,6348,9.49,9.5,142106,57
GARAN,1572872914268113592,E,14,84558,9.49,9.51,492161,65
GARAN,1572872914269016267,A,17,122158,9.49,9.5,9300,1
GARAN,1572872914269389776,E,17,122158,9.49,9.51,484462,63
GARAN,1572872914269435635,A,1,9300,9.5,9.51,484462,63
GARAN,1572872914271581419,E,17,122158,9.49,9.51,484462,63
GARAN,1572872914271581419,A,17,122158,9.49,9.5,12800,1
GARAN,1572872914271938294,E,17,122158,9.49,9.51,484462,63
GARAN,1572872914272213429,A,1,7500,9.5,9.51,484462,63
GARAN,1572872914329795659,E,16,103451,9.49,9.51,484462,63
GARAN,1572872914329795659,A,16,103451,9.49,9.5,3357,1
GARAN,1572872914329973861,E,16,103451,9.49,9.51,484462,63
GARAN,1572872914331328028,A,16,103451,9.49,9.5,4952,1
GARAN,1572872917753228925,E,18,121462,9.49,9.51,484462,63
GARAN,1572872917827848601,A,16,103451,9.49,9.5,2321,1
GARAN,1572872917871580700,D,16,103451,9.49,9.51,484462,63
GARAN,1572872920084520584,A,16,89369,9.49,9.5,7500,1
GARAN,1572872920208073236,D,16,89369,9.49,9.51,486467,64
GARAN,1572872922763735107,A,16,89079,9.49,9.5,1100,1
GARAN,1572872927292550072,E,16,108753,9.49,9.51,486467,64
GARAN,1572872927292550072,A,1,48900,9.5,9.51,486467,64
GARAN,1572873025336043749,E,14,88669,9.49,9.51,446254,53
GARAN,1572873025336310321,A,14,88669,9.49,9.5,9300,1
GARAN,1572873031222400253,E,12,59721,9.49,9.51,440770,52
GARAN,1572873031222400253,A,1,32356,9.5,9.51,440770,52
GARAN,1572873034034034988,E,12,63648,9.49,9.51,440770,52
GARAN,1572873034034034988,A,12,63648,9.49,9.5,18186,1
GARAN,1572873036754499585,E,11,58068,9.49,9.51,440770,52
GARAN,1572873036754499585,A,1,36218,9.5,9.51,440770,52
GARAN,1572873058777338657,E,13,69926,9.49,9.51,443513,54
GARAN,1572873058777338657,A,13,69926,9.49,9.5,29041,1
GARAN,1572873884922364899,E,4,28924,9.49,9.51,448381,59
GARAN,1572873884922652506,A,1,7500,9.5,9.51,448381,59
GARAN,1572874186435209490,E,10,46864,9.49,9.51,380637,59
GARAN,1572874186435802479,A,9,29241,9.49,9.5,7500,1
GARAN,1572874205079962277,E,14,36559,9.49,9.51,365823,55
GARAN,1572874205079962277,A,1,5202,9.5,9.51,365823,55
GARAN,1572874255134781071,E,15,42095,9.49,9.51,394726,56
GARAN,1572874255198607223,A,14,26278,9.49,9.5,7500,1
GARAN,1572874255312628942,D,14,26278,9.49,9.51,394726,56
GARAN,1572874255312798080,A,14,26278,9.49,9.5,2138,1
GARAN,1572874261380742267,E,18,46945,9.49,9.51,390798,55
GARAN,1572874261381083474,A,1,7500,9.5,9.51,390798,55
GARAN,1572874262819428698,D,16,37525,9.49,9.51,390798,55
GARAN,1572874263373162411,A,1,1,9.5,9.51,390798,55
GARAN,1572874263373281307,E,16,37525,9.49,9.51,390798,55
GARAN,1572874267728323672,A,1,1265,9.5,9.51,390798,55
GARAN,1572874297205686308,E,15,34189,9.49,9.51,416298,57
GARAN,1572874311998579960,A,15,44776,9.49,9.5,5,1
GARAN,1572874322892832584,E,18,58192,9.49,9.51,416298,57
GARAN,1572874327813332634,A,15,44776,9.49,9.5,7500,1
GARAN,1572874330803687208,D,16,48411,9.49,9.51,416298,57
GARAN,1572874371817232861,A,1,25,9.5,9.51,418343,58
GARAN,1572874371817397653,E,17,47163,9.49,9.51,418343,58
GARAN,1572874374023287928,A,17,47163,9.49,9.5,7500,1
GARAN,1572874374044570139,D,17,47163,9.49,9.51,420708,59
GARAN,1572874391308627547,A,1,1,9.5,9.51,420708,59
GARAN,1572874391308740499,E,18,51261,9.49,9.51,420708,59
GARAN,1572874401177524526,A,1,606,9.5,9.51,420708,59
GARAN,1572874401177606310,E,18,51261,9.49,9.51,420708,59
GARAN,1572874401177797151,A,18,51261,9.49,9.5,7500,1
GARAN,1572874401760991047,D,16,44777,9.49,9.51,420708,59
GARAN,1572874414593840554,A,20,61822,9.49,9.5,100,1
GARAN,1572874474491214791,E,20,62599,9.49,9.51,416298,57
GARAN,1572874474491406928,A,1,7500,9.5,9.51,416298,57
GARAN,1572874474553924400,D,19,57180,9.49,9.51,416298,57
GARAN,1572874494169787820,A,1,500,9.5,9.51,436298,58
GARAN,1572874496408696120,E,21,64718,9.49,9.51,436298,58
GARAN,1572874499405931043,A,21,64718,9.49,9.5,10000,1
GARAN,1572874527653803311,E,20,68923,9.49,9.51,436298,58
GARAN,1572874527654041262,A,1,7500,9.5,9.51,436298,58
GARAN,1572875351575827022,E,21,60235,9.49,9.51,464051,71
GARAN,1572875351576436072,A,20,48492,9.49,9.5,7500,1
GARAN,1572875591596115212,E,25,116043,9.49,9.51,451127,72
GARAN,1572875591596331752,A,1,7500,9.5,9.51,451127,72
GARAN,1572875629022263267,E,9,65151,9.5,9.52,361793,89
GARAN,1572875629081959605,A,10,70001,9.5,9.51,2198,1
GARAN,1572875629082150402,E,10,70001,9.5,9.52,361611,88
GARAN,1572875629508240667,A,8,62211,9.5,9.51,1000,1
GARAN,1572875629508515667,E,8,62211,9.5,9.52,364124,89
GARAN,1572875630304560119,A,9,87211,9.5,9.51,215,1
GARAN,1572875630736208634,E,9,87211,9.5,9.52,363909,88
GARAN,1572875632862193871,A,1,586,9.51,9.52,356118,88
GARAN,1572875642979435069,E,13,113684,9.5,9.52,356878,89
GARAN,1572875642979712940,A,13,113684,9.5,9.51,7500,1
GARAN,1572875643180933183,E,11,92188,9.5,9.52,354365,88
GARAN,1572875643194813655,A,11,92188,9.5,9.51,2222,1
GARAN,1572875643321131311,D,11,92188,9.5,9.52,354365,88
GARAN,1572875651561829879,A,12,96451,9.5,9.51,1000,1
GARAN,1572875654782765482,E,12,96451,9.5,9.52,346128,89
GARAN,1572875658261965215,A,11,92187,9.5,9.51,7500,1
GARAN,1572875661799424397,D,11,92187,9.5,9.52,346128,89
GARAN,1572875662477524925,A,1,110,9.51,9.52,346128,89
GARAN,1572875662477674070,E,11,92187,9.5,9.52,346128,89
GARAN,1572875662477886151,A,11,92187,9.5,9.51,7500,1
GARAN,1572875687254972710,E,10,89666,9.5,9.52,343623,88
GARAN,1572875687254972710,A,1,64419,9.51,9.52,343623,88
GARAN,1572875696088760555,E,15,91505,9.5,9.52,344712,87
GARAN,1572875696089049124,A,15,91505,9.5,9.51,7500,1
GARAN,1572875699150771986,E,13,64426,9.5,9.52,342631,86
GARAN,1572875699150771986,A,1,72890,9.51,9.52,342631,86
GARAN,1572875702280883564,E,14,64427,9.5,9.52,346742,88
GARAN,1572875702280883564,A,14,64427,9.5,9.51,16103,1
GARAN,1572875771589704297,E,25,117655,9.49,9.51,295132,13
GARAN,1572875771589794703,A,25,117655,9.49,9.5,7500,1
GARAN,1572875785017323158,E,24,126791,9.49,9.51,288734,13
GARAN,1572875785017323158,A,1,36958,9.5,9.51,288734,13
GARAN,1572875793101917123,E,24,126791,9.49,9.51,290877,13
GARAN,1572875793101917123,A,24,126791,9.49,9.5,68834,1
GARAN,1572875797583780707,E,24,126791,9.49,9.51,288420,12
GARAN,1572875797583780707,A,1,22174,9.5,9.51,288420,12
GARAN,1572875811833495871,E,24,126791,9.49,9.51,288419,12
GARAN,1572875811833495871,A,24,126791,9.49,9.5,77012,1
GARAN,1572875883162846841,E,24,123941,9.49,9.51,288062,12
GARAN,1572875883162846841,A,1,57182,9.5,9.51,288062,12
GARAN,1572875910467686473,E,24,110335,9.49,9.51,305334,15
GARAN,1572875910467792656,A,24,110335,9.49,9.5,7500,1
GARAN,1572876252733251684,E,25,309164,9.48,9.5,95361,12
GARAN,1572876252733466407,A,25,309164,9.48,9.49,7500,1
GARAN,1572876252980558451,E,24,309160,9.48,9.5,89450,11
GARAN,1572876252980780157,A,24,309160,9.48,9.49,7500,1
GARAN,1572876341367338398,E,22,43858,9.47,9.49,49651,8
GARAN,1572876341367338398,A,22,43858,9.47,9.48,104737,1
GARAN,1572876358390576625,E,18,48123,9.46,9.48,236491,7
GARAN,1572876358390672355,A,18,48123,9.46,9.47,8042,1
GARAN,1572876358609307692,E,17,24182,9.46,9.48,236538,8
GARAN,1572876358609917469,A,17,24182,9.46,9.47,7500,1
GARAN,1572876372023435205,E,35,82205,9.45,9.47,19427,4
GARAN,1572876372023678840,A,1,7500,9.46,9.47,19427,4
GARAN,1572876374551989309,E,35,82205,9.45,9.47,19427,4
GARAN,1572876374552284138,A,1,7500,9.46,9.47,19427,4
GARAN,1572876386896572380,E,9,43587,9.46,9.48,181818,7
GARAN,1572876386896832680,A,1,82,9.47,9.48,181818,7
GARAN,1572876386897206200,E,6,43241,9.46,9.48,181818,7
GARAN,1572876386897206200,A,6,43241,9.46,9.47,4654,1
GARAN,1572876386897369040,E,6,43241,9.46,9.48,181818,7
GARAN,1572876386897369040,A,1,2846,9.47,9.48,181818,7
GARAN,1572876386897548131,E,6,43241,9.46,9.48,181818,7
GARAN,1572876386897973341,A,6,43241,9.46,9.47,7500,1
GARAN,1572876386940944593,E,6,43241,9.46,9.48,181818,7
GARAN,1572876386940944593,A,1,47073,9.47,9.48,181818,7
GARAN,1572876427285232109,E,15,85173,9.47,9.49,35249,8
GARAN,1572876427285504966,A,1,1061,9.48,9.49,35249,8
GARAN,1572876629027160573,E,9,61722,9.48,9.5,124107,23
GARAN,1572876629027160573,A,1,10613,9.49,9.5,124107,23
GARAN,1572876629027510373,E,9,61722,9.48,9.5,124107,23
GARAN,1572876629027559494,A,9,61722,9.48,9.49,500,1
GARAN,1572877480962424226,E,17,96609,9.47,9.49,104857,19
GARAN,1572877480962670451,A,17,96609,9.47,9.48,571,1
GARAN,1572877483788037241,E,16,89433,9.47,9.49,94186,17
GARAN,1572877483935694920,A,1,7500,9.48,9.49,94186,17
GARAN,1572877486860318523,D,19,97980,9.47,9.49,94186,17
GARAN,1572877490270859301,A,19,97945,9.47,9.48,10000,1
GARAN,1572877650863065875,E,25,85249,9.47,9.49,90811,19
GARAN,1572877650863326605,A,1,7500,9.48,9.49,90811,19
GARAN,1572877657313588403,E,27,91481,9.47,9.49,90811,19
GARAN,1572877657313588403,A,27,91481,9.47,9.48,26933,1
GARAN,1572877657313923025,E,27,91481,9.47,9.49,90811,19
GARAN,1572877657314154862,A,1,7500,9.48,9.49,90811,19
GARAN,1572877672189886173,E,27,91481,9.47,9.49,94584,20
GARAN,1572877672189886173,A,27,91481,9.47,9.48,36876,1
GARAN,1572877825524715310,E,26,72857,9.47,9.49,90557,18
GARAN,1572877825524715310,A,1,67668,9.48,9.49,90557,18
GARAN,1572877846139432997,E,10,108563,9.48,9.5,108544,31
GARAN,1572877846139432997,A,1,18105,9.49,9.5,108544,31
GARAN,1572877910186456664,E,8,57957,9.48,9.5,240366,34
GARAN,1572877910186678128,A,8,57957,9.48,9.49,7500,1
GARAN,1572877910342987662,E,8,57957,9.48,9.5,240614,35
GARAN,1572877910343270330,A,1,7500,9.49,9.5,240614,35
GARAN,1572877911516990328,E,8,57957,9.48,9.5,240614,35
GARAN,1572877911516990328,A,8,57957,9.48,9.49,43500,1
GARAN,1572877917188581252,E,8,57957,9.48,9.5,240614,35
GARAN,1572877917188581252,A,1,76329,9.49,9.5,240614,35
GARAN,1572877954429615182,E,7,348817,9.49,9.51,303434,23
GARAN,1572877954429818106,A,1,7500,9.5,9.51,303434,23
GARAN,1572877954489297233,E,7,348817,9.49,9.51,303221,22
GARAN,1572877954489297233,A,7,348817,9.49,9.5,2798,1
GARAN,1572877954493858731,E,7,348817,9.49,9.51,303221,22
GARAN,1572877954495647451,A,7,348817,9.49,9.5,2047,1
GARAN,1572877954622224057,D,7,348817,9.49,9.51,303221,22
GARAN,1572877954622399292,A,7,348817,9.49,9.5,7500,1
GARAN,1572877960409115303,E,7,349776,9.49,9.51,303221,22
GARAN,1572877960452266647,A,7,349776,9.49,9.5,2187,1
GARAN,1572877960498127087,D,7,349776,9.49,9.51,303221,22
GARAN,1572877963241503126,A,1,25000,9.5,9.51,305267,23
GARAN,1572877976494192147,E,4,62108,9.49,9.51,305267,23
GARAN,1572877976494400242,A,4,62108,9.49,9.5,7500,1
GARAN,1572878002601099856,E,4,58049,9.49,9.51,303422,23
GARAN,1572878002601267403,A,4,58049,9.49,9.5,600,1
GARAN,1572878002601366850,E,4,58049,9.49,9.51,303422,23
GARAN,1572878002601366850,A,1,6900,9.5,9.51,303422,23
GARAN,1572878034319559267,E,2,26916,9.49,9.51,309138,24
GARAN,1572878034487464940,A,2,26916,9.49,9.5,2209,1
GARAN,1572878040232567400,E,5,46806,9.49,9.51,303220,22
GARAN,1572878040232765468,A,1,7500,9.5,9.51,303220,22
GARAN,1572878040276518354,E,3,37523,9.49,9.51,303406,23
GARAN,1572878040276782366,A,1,7500,9.5,9.51,303406,23
GARAN,1572878045203742209,E,2,26916,9.49,9.51,310819,25
GARAN,1572878045203742209,A,2,26916,9.49,9.5,38003,1
GARAN,1572878045204056705,E,2,26916,9.49,9.51,310819,25
GARAN,1572878045204244558,A,1,7500,9.5,9.51,310819,25
GARAN,1572878045276209235,E,2,26916,9.49,9.51,310819,25
GARAN,1572878045352014739,A,1,3927,9.5,9.51,310819,25
GARAN,1572878088260052035,E,2,26916,9.49,9.51,312911,24
GARAN,1572878088260052035,A,2,26916,9.49,9.5,8221,1
GARAN,1572878088260450318,E,2,26916,9.49,9.51,312911,24
GARAN,1572878088260639558,A,1,7500,9.5,9.51,313161,25
GARAN,1572878088260783151,E,2,26916,9.49,9.51,313161,25
GARAN,1572878088399827830,A,1,6128,9.5,9.51,308369,23
GARAN,1572878088415835737,E,3,34687,9.49,9.51,308369,23
GARAN,1572878088415835737,A,3,34687,9.49,9.5,14647,1
GARAN,1572878088460757538,D,4,40247,9.49,9.51,308369,23
GARAN,1572878092964908158,A,1,675,9.5,9.51,313198,24
GARAN,1572878092964995822,E,3,34687,9.49,9.51,313198,24
GARAN,1572878102875759777,A,3,34687,9.49,9.5,7500,1
GARAN,1572878690628144390,E,15,313292,9.49,9.51,310074,27
GARAN,1572878690628459129,A,1,7500,9.5,9.51,310074,27
GARAN,1572878690714487465,E,15,313292,9.49,9.51,317574,28
GARAN,1572878690714487465,A,15,313292,9.49,9.5,985,1
GARAN,1572878690714679160,E,15,313292,9.49,9.51,317574,28
GARAN,1572878690714828113,A,1,7500,9.5,9.51,317574,28
GARAN,1572878690852558145,E,16,316497,9.49,9.51,320073,29
GARAN,1572878690852558145,A,16,316497,9.49,9.5,5010,1
GARAN,1572878690852798509,E,16,316497,9.49,9.51,320073,29
GARAN,1572878690889947881,A,1,14141,9.5,9.51,331073,30
GARAN,1572878743430409788,E,14,313710,9.49,9.51,336035,33
GARAN,1572878743430876439,A,14,313710,9.49,9.5,7500,1
GARAN,1572879082896512452,E,13,33725,9.48,9.5,158133,19
GARAN,1572879082896567294,A,13,33725,9.48,9.49,163,1
GARAN,1572879082896991942,E,13,33725,9.48,9.5,158133,19
GARAN,1572879082896991942,A,1,4837,9.49,9.5,158133,19
GARAN,1572879082897524295,E,13,33725,9.48,9.5,158133,19
GARAN,1572879082897889828,A,1,5000,9.49,9.5,158133,19
GARAN,1572879082899161832,E,13,33725,9.48,9.5,158133,19
GARAN,1572879086329636897,A,7,32414,9.48,9.49,10000,1
GARAN,1572879089857783950,E,25,77571,9.47,9.49,153319,7
GARAN,1572879089858065989,A,1,5000,9.48,9.49,153319,7
GARAN,1572879089858331012,E,25,77571,9.47,9.49,153319,7
GARAN,1572879089858479394,A,1,5000,9.48,9.49,153319,7
GARAN,1572879110030132854,E,25,77571,9.47,9.49,167843,8
GARAN,1572879110030132854,A,25,77571,9.47,9.48,18532,1
GARAN,1572879110030398969,E,25,77571,9.47,9.49,167843,8
GARAN,1572879110030607021,A,1,5000,9.48,9.49,167843,8
GARAN,1572879110030866075,E,25,77571,9.47,9.49,167843,8
GARAN,1572879110030866075,A,25,77571,9.47,9.48,2600,1
GARAN,1572879110030993165,E,25,77571,9.47,9.49,167843,8
GARAN,1572879110030993165,A,1,2400,9.48,9.49,167843,8
GARAN,1572879124911482271,E,27,82572,9.47,9.49,155174,7
GARAN,1572879124911482271,A,27,82572,9.47,9.48,4620,1
GARAN,1572879124911670429,E,27,82572,9.47,9.49,155174,7
GARAN,1572879125105165937,A,27,82572,9.47,9.48,2100,1
GARAN,1572879125105276828,E,27,82572,9.47,9.49,155174,7
GARAN,1572879125753922769,A,1,2500,9.48,9.49,155174,7
GARAN,1572879151833202578,E,28,84572,9.47,9.49,160624,9
GARAN,1572879151833202578,A,28,84572,9.47,9.48,2645,1
GARAN,1572879151833509054,E,28,84572,9.47,9.49,160624,9
GARAN,1572879151980717113,A,1,12912,9.48,9.49,160624,9
GARAN,1572879177299278932,E,28,84572,9.47,9.49,160635,10
GARAN,1572879177414423406,A,1,5482,9.48,9.49,160635,10
GARAN,1572879186943621676,E,28,84572,9.47,9.49,160635,10
GARAN,1572879187078912904,A,28,84572,9.47,9.48,92480,1
GARAN,1572879193319767707,E,29,89180,9.47,9.49,147416,8
GARAN,1572879193470302226,A,30,93880,9.47,9.48,10500,1
GARAN,1572879193495570385,E,30,93880,9.47,9.49,160416,9
GARAN,1572879193740602016,A,30,93880,9.47,9.48,13500,1
GARAN,1572879193877609890,E,31,103283,9.47,9.49,147416,8
GARAN,1572879197118158543,A,1,1000,9.48,9.49,162156,10
GARAN,1572879197168926444,E,31,109869,9.47,9.49,162156,10
GARAN,1572879197168926444,A,31,109869,9.47,9.48,4000,1
GARAN,1572879197169070250,E,31,109869,9.47,9.49,162156,10
GARAN,1572879200113476575,A,1,4686,9.48,9.49,162156,10
GARAN,1572879202782495115,E,29,97583,9.47,9.49,152156,9
GARAN,1572879202782495115,A,29,97583,9.47,9.48,5521,1
GARAN,1572879203004873557,E,30,105224,9.47,9.49,137656,8
GARAN,1572879203057940435,A,1,500,9.48,9.49,137656,8
GARAN,1572879203269567919,E,29,97583,9.47,9.49,148656,9
GARAN,1572879203269567919,A,29,97583,9.47,9.48,14500,1
GARAN,1572879204845007588,E,31,107321,9.47,9.49,137656,8
GARAN,1572879205076104186,A,31,106744,9.47,9.48,13000,1
GARAN,1572879215694990166,E,32,108238,9.47,9.49,135893,6
GARAN,1572879215840924895,A,32,108238,9.47,9.48,16000,1
GARAN,1572879218053713749,E,32,108238,9.47,9.49,150393,7
GARAN,1572879218586434441,A,33,114287,9.47,9.48,250,1
